ruc,nombre,tipo,provincia,expediente,posicion_general,ingresos_ventas,ingresos_totales,activos,patrimonio,utilidad_neta,n_empleados,cod_segmento,ciiu_n1,ciiu_n6,ciiu_n1_desc,ciiu_n6_desc
2390018439001,IMPORTADORA VIDRIALUM S.A.,ANÓNIMA,GUAYAS,179884,2561,8506838.09,8506838.09,11102379.57,6159284.53,199874.51,163.00,4,G,G4663.15,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,VENTA AL POR MAYOR DE VIDRIO PLANO Y ESPEJOS.
1792599040001,SUMMIT AGRO SOUTH AMERICA SPA,SUCURSAL  EXTRANJERA,PICHINCHA,703288,2562,10886867.49,11140885.59,10823166.72,1769041.32,940643.47,18.00,4,C,C2021.01,INDUSTRIAS MANUFACTURERAS.,"FABRICACIÓN DE INSECTICIDAS, RATICIDAS, FUNGICIDAS, HERBICIDAS, ANTIGERMINANTES, REGULADORES DEL CRECIMIENTO DE LAS PLANTAS."
1790972186001,ECUASURGICAL S.A.,ANÓNIMA,PICHINCHA,46454,2563,9714636.59,10294095.82,10834872.41,4212087.77,281968.53,44.00,4,G,G4649.24,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE INSTRUMENTOS, MATERIALES MÉDICOS Y QUIRÚRGICOS, DENTALES Y ARTÍCULOS ORTOPÉDICOS."
1791335066001,KLUANE DRILLING ECUADOR S.A.,ANÓNIMA,PICHINCHA,85063,2564,7616941.54,7781384.65,11063113.30,8074504.25,51935.44,190.00,4,B,B0910.01,EXPLOTACIÓN DE MINAS Y CANTERAS.,"ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO."
0992136804001,PARCESHI S.A.,ANÓNIMA,GUAYAS,101728,2565,13902525.87,13910587.72,8071484.26,1741937.98,-6860.40,7.00,4,G,G4661.03,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE COMBUSTIBLES LÍQUIDOS NAFTA, GASOLINA, BIOCOMBUSTIBLE INCLUYE GRASAS, LUBRICANTES Y ACEITES, GASES LICUADOS DE PETRÓLEO, BUTANO Y PROPANO."
1792380944001,SUDAMERICANA DE BUSES Y CAMIONES SUDACAM CIA. LTDA.,RESPONSABILIDAD LIMITADA,PICHINCHA,147865,2566,4552646.03,4552646.03,16894385.65,886078.63,-332550.66,5.00,3,G,G4510.01,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA DE VEHÍCULOS NUEVOS Y USADOS: VEHÍCULOS DE PASAJEROS, INCLUIDOS VEHÍCULOS ESPECIALIZADOS COMO: AMBULANCIAS Y MINIBUSES, CAMIONES, REMOLQUES Y SEMIRREMOLQUES, VEHÍCULOS DE ACAMPADA COMO: CARAVANAS Y AUTOCARAVANAS, VEHÍCULOS PARA TODO TERRENO (JEEPS, ETCÉTERA), INCLUIDO LA VENTA AL POR MAYOR Y AL POR MENOR POR COMISIONISTAS."
1792227976001,BEDUCACION S.A.,ANÓNIMA,PICHINCHA,163927,2567,14448494.29,14482619.67,8119111.86,443539.60,194985.13,68.00,4,J,J6202.10,INFORMACIÓN Y COMUNICACIÓN.,ACTIVIDADES DE PLANIFICACIÓN Y DISEÑO DE SISTEMAS INFORMÁTICOS QUE INTEGRAN EQUIPO Y PROGRAMAS INFORMÁTICOS Y TECNOLOGÍA DE LAS COMUNICACIONES.
0190055671001,TOCASA S.A.,ANÓNIMA,AZUAY,30373,2568,18448165.67,18448165.67,3587555.04,2547825.34,265596.15,35.00,4,G,G4730.01,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS EN ESTABLECIMIENTOS ESPECIALIZADOS.
0993233943001,COMMERCORPLUS S.A.,ANÓNIMA,GUAYAS,726262,2572,10178430.71,10208440.37,9376492.37,6425251.47,2375515.02,38.00,4,G,G4649.97,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.,"VENTA AL POR MAYOR DE RELOJES, JOYAS Y BISUTERÍA."
0990892555001,INDUSTRIAL KATON S.A (INKATONSA),ANÓNIMA,GUAYAS,44984,2574,8058916.27,8058916.27,12609434.04,3346296.29,82877.52,67.00,4,C,C2395.09,INDUSTRIAS MANUFACTURERAS.,"FABRICACIÓN DE OTROS ARTÍCULOS DE HORMIGÓN, YESO, CEMENTO O PIEDRA ARTIFICIAL, INCLUSO LOS USADOS CON FINES DECORATIVOS: ESTATUAS, MUEBLES, BAJORRELIEVES Y ALTORRELIEVES, JARRONES, MACETAS, ETCÉTERA."
